Name,Powerstate,CPU,RAM,NICs,Disks,SpaceGB,OS
dca-dev1001,poweredOn,2,8,2,2,78,Microsoft Windows Server 2008 R2 (64-bit)
dca-dev1003,poweredOn,2,8,2,2,108,Microsoft Windows Server 2008 R2 (64-bit)
dca-dev1004,poweredOn,2,6,2,6,526,Microsoft Windows Server 2008 R2 (64-bit)
dca-dev1016,poweredOn,2,6,2,2,76,Microsoft Windows Server 2008 R2 (64-bit)
dca-dev1023,poweredOn,2,4,2,2,331,Microsoft Windows Server 2008 R2 (64-bit)
dca-dev1024,poweredOn,2,4,2,2,154,Microsoft Windows Server 2008 R2 (64-bit)
dca-dev1025,poweredOn,2,4,2,2,104,Microsoft Windows Server 2008 R2 (64-bit)
dca-dev1041,poweredOn,1,4,2,2,94,Microsoft Windows Server 2008 R2 (64-bit)
dca-dev1047,poweredOn,2,10,2,7,745,Microsoft Windows Server 2008 R2 (64-bit)
dca-dev1079,poweredOn,4,8,2,5,358,Microsoft Windows Server 2008 R2 (64-bit)
dca-dev1080,poweredOn,4,8,2,5,358,Microsoft Windows Server 2008 R2 (64-bit)
dca-dev1110,poweredOn,2,8,2,2,83,Microsoft Windows Server 2008 R2 (64-bit)
dca-dev1204,poweredOn,2,8,2,2,108,Microsoft Windows Server 2008 R2 (64-bit)
dca-dev1229,poweredOn,2,16,1,2,166,Microsoft Windows Server 2012 (64-bit)
dca-dev1241,poweredOn,4,8,1,2,158,Microsoft Windows Server 2012 (64-bit)
dca-dev1259,poweredOn,4,32,1,2,182,Microsoft Windows Server 2012 (64-bit)
dca-dev1279,poweredOn,1,4,1,2,124,Microsoft Windows Server 2012 (64-bit)
dca-dev1283,poweredOn,2,4,1,2,104,Microsoft Windows Server 2008 R2 (64-bit)
dca-dev1284,poweredOn,2,4,2,2,104,Microsoft Windows Server 2008 R2 (64-bit)
dca-dev1285,poweredOn,2,4,1,2,104,Microsoft Windows Server 2008 R2 (64-bit)
dca-dev1290,poweredOn,1,16,1,2,76,Microsoft Windows Server 2012 (64-bit)
dca-dev1291,poweredOn,1,16,1,2,76,Microsoft Windows Server 2012 (64-bit)
dca-dev1347,poweredOn,4,8,1,2,118,Microsoft Windows Server 2012 (64-bit)
dca-dev1348,poweredOn,1,4,1,2,114,Microsoft Windows Server 2012 (64-bit)
dca-dev1373,poweredOn,2,8,1,2,108,Microsoft Windows Server 2012 (64-bit)
dca-dev1374,poweredOn,1,16,1,2,116,Microsoft Windows Server 2012 (64-bit)
dca-dev1383,poweredOn,2,8,1,2,158,Microsoft Windows Server 2012 (64-bit)
dca-dev1394,poweredOn,2,8,1,2,258,Microsoft Windows Server 2012 (64-bit)
dca-dev1426,poweredOn,1,8,1,2,143,Microsoft Windows Server 2012 (64-bit)
dca-dev1436,poweredOn,4,16,1,6,726,Microsoft Windows Server 2012 (64-bit)
dca-dev1440,poweredOn,2,6,1,6,290,Microsoft Windows Server 2012 (64-bit)
dca-dev1443,poweredOn,2,24,1,6,308,Microsoft Windows Server 2012 (64-bit)
dca-dev1446,poweredOn,2,4,2,2,104,Microsoft Windows Server 2008 R2 (64-bit)
dca-dev1454,poweredOn,4,16,1,2,366,Microsoft Windows Server 2012 (64-bit)
dca-dev1463,poweredOn,4,8,1,2,258,Microsoft Windows Server 2012 (64-bit)
dca-dev1464,poweredOn,2,8,1,2,258,Microsoft Windows Server 2012 (64-bit)
dca-dev1465,poweredOn,2,8,1,2,258,Microsoft Windows Server 2012 (64-bit)
dca-dev1466,poweredOn,2,8,1,2,258,Microsoft Windows Server 2012 (64-bit)
dca-dev1467,poweredOn,2,16,1,2,266,Microsoft Windows Server 2012 (64-bit)
dca-dev1477,poweredOn,4,16,1,1,66,Microsoft Windows Server 2012 (64-bit)
dca-dev1553,poweredOn,4,16,1,2,578,Microsoft Windows Server 2012 (64-bit)
dca-dev1554,poweredOn,4,16,1,2,578,Microsoft Windows Server 2012 (64-bit)
dca-dev1555,poweredOn,4,16,1,2,578,Microsoft Windows Server 2012 (64-bit)
dca-dev204,poweredOn,2,4,2,3,185,Microsoft Windows Server 2003 (32-bit)
dca-dev205,poweredOn,2,4,3,2,100,Microsoft Windows Server 2003 (32-bit)
dca-dev208,poweredOn,2,3,3,1,74,Microsoft Windows Server 2003 (32-bit)
dca-dev331,poweredOn,2,8,1,6,420,Microsoft Windows Server 2012 (64-bit)
dca-dev5018,poweredOn,4,16,1,6,286,Microsoft Windows Server 2012 (64-bit)
dca-dev510,poweredOn,1,4,2,2,134,Microsoft Windows Server 2008 R2 (64-bit)
dca-dev511,poweredOn,1,4,2,2,104,Microsoft Windows 7 (64-bit)
dca-dev512,poweredOn,1,4,2,2,104,Microsoft Windows 7 (64-bit)
dca-dev513,poweredOn,1,4,2,2,104,Microsoft Windows 7 (64-bit)
dca-dev614,poweredOff,1,1,2,3,86,
dca-dev618,poweredOn,2,2,2,2,43,Microsoft Windows Server 2003 (32-bit)
